Running pytorch 2.10.0+cu130
using device: cuda:0
tokens per iteration: 524,288
DataLoader: total number of tokens: 5,000,000,000 across 50 files
DataLoader: total number of tokens: 100,000,000 across 1 files
compiling the model...
step:0/4768 | val loss 10.987924 | best_candidate:current
step:281/4768 | loss 5.236422 | train_time:1415.27s | step_avg:5018.67ms
step:282/4768 | loss 5.094754 | train_time:1420.07s | step_avg:5017.91ms
step:283/4768 | loss 5.123131 | train_time:1424.87s | step_avg:5017.14ms
step:284/4768 | loss 5.065646 | train_time:1429.67s | step_avg:5016.38ms
step:285/4768 | loss 5.151685 | train_time:1434.47s | step_avg:5015.64ms
step:286/4768 | loss 5.087740 | train_time:1439.23s | step_avg:5014.76ms
step:287/4768 | loss 5.077881 | train_time:1444.36s | step_avg:5015.14ms
step:288/4768 | loss 5.059155 | train_time:1449.36s | step_avg:5015.08ms
step:289/4768 | loss 5.059906 | train_time:1454.16s | step_avg:5014.33ms
step:290/4768 | loss 5.121836 | train_time:1458.97s | step_avg:5013.66ms
step:291/4768 | loss 5.038996 | train_time:1463.76s | step_avg:5012.88ms
step:292/4768 | loss 5.095066 | train_time:1468.56s | step_avg:5012.15ms
step:293/4768 | loss 5.013848 | train_time:1473.17s | step_avg:5010.77ms
step:294/4768 | loss 5.158163 | train_time:1478.07s | step_avg:5010.41ms
step:295/4768 | loss 5.067181 | train_time:1483.41s | step_avg:5011.54ms
step:296/4768 | loss 5.121674 | train_time:1488.06s | step_avg:5010.32ms
step:297/4768 | loss 5.142739 | train_time:1492.87s | step_avg:5009.62ms
step:298/4768 | loss 5.034966 | train_time:1497.66s | step_avg:5008.91ms
step:299/4768 | loss 5.092973 | train_time:1502.47s | step_avg:5008.24ms
step:300/4768 | loss 5.047845 | train_time:1508.32s | step_avg:5011.03ms
step:301/4768 | loss 5.061472 | train_time:1513.17s | step_avg:5010.48ms
step:302/4768 | loss 5.022571 | train_time:1518.17s | step_avg:5010.46ms
step:303/4768 | loss 5.024201 | train_time:1522.97s | step_avg:5009.78ms
